Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Vladimir;Mage;TOP;C;38;-4.38;48.94%;21.01%;0.93%;5.65%;1.96
Volibear;Fighter;JUNGLE;A;49.74;-1.51;52.60%;46.91%;2.61%;1.97%;2.83
Volibear;Fighter;TOP;B;44.27;5.7;49.61%;47.61%;2.44%;1.97%;1.8
Warwick;Fighter;JUNGLE;S;62.44;11.25;51.56%;68.51%;6.43%;6.29%;2.43
Warwick;Fighter;TOP;B;45.38;-0.51;50.81%;28.38%;1.91%;6.29%;1.88
Wukong;Fighter;JUNGLE;S;57.98;15.39;53.59%;77.01%;4.10%;2.80%;2.91
Wukong;Fighter;TOP;B;42.6;-3.34;50.86%;18.27%;1.03%;2.80%;2.05
Xayah;Marksman;ADC;B;44.67;9.14;50.40%;97.35%;5.31%;0.55%;2.29
Xerath;Mage;SUPPORT;A;51.97;2.45;51.93%;64.52%;2.95%;2.22%;2.64
Xerath;Mage;MID;A;51.15;-1.86;51.74%;30.91%;1.43%;2.22%;3.11
Xin Zhao;Fighter;JUNGLE;B;44.59;-0.18;51.62%;85.31%;2.35%;0.49%;2.42
Yasuo;Fighter;MID;God;71.75;-2.1;49.88%;69.13%;11.57%;19.10%;1.71
Yasuo;Fighter;TOP;B;42.85;4.48;48.69%;15.94%;2.42%;19.10%;1.52
Yasuo;Fighter;ADC;D;32.97;-0.36;50.13%;13.26%;1.97%;19.10%;1.91
Yone;Assassin;MID;S;64.83;-5.3;50.80%;62.90%;9.17%;12.61%;1.88
Yone;Assassin;TOP;A;54.09;-1.95;49.76%;32.64%;4.48%;12.61%;1.65
Yorick;Fighter;TOP;B;46.3;-1.3;50.99%;84.89%;2.59%;3.04%;1.57
Yuumi;Support;SUPPORT;God;93.58;0.14;48.75%;98.32%;10.36%;32.16%;4.08
Zac;Tank;JUNGLE;B;46.79;-11.05;47.87%;72.96%;3.20%;2.49%;3.54
Zac;Tank;TOP;B;41.65;0;50.27%;11.03%;0.44%;2.46%;2.48
Zed;Assassin;MID;God;91.82;6.97;51.87%;73.52%;11.75%;42.50%;2.34
Zed;Assassin;JUNGLE;A;55.74;11.59;50.16%;21.79%;3.23%;42.50%;2.73
Zeri;Marksman;ADC;D;19.73;2.02;44.70%;88.97%;1.75%;0.57%;2.06
Ziggs;Mage;MID;B;46.28;1.68;51.01%;52.07%;1.41%;0.35%;2.35
Ziggs;Mage;ADC;C;39.43;3.69;53.29%;34.83%;0.86%;0.35%;2.45
Ziggs;Mage;SUPPORT;C;35.94;0;49.40%;12.40%;0.31%;0.37%;2.05
Zilean;Support;SUPPORT;A;51.46;5.2;51.60%;82.25%;2.65%;1.43%;2.92
Zilean;Support;MID;A;50.92;6.31;52.26%;13.24%;0.39%;1.43%;3.4
Zoe;Mage;MID;B;45.6;-3.4;48.61%;82.65%;2.55%;1.25%;2.48
Zoe;Mage;SUPPORT;D;31.77;0;46.84%;13.97%;0.39%;1.22%;2.14
Zyra;Mage;SUPPORT;A;54.33;5.84;53.30%;90.07%;3.37%;2.54%;2.25
