Reports,Count
02/11/2003,43
02/05/2003,62
01/26/2003,7
01/20/2003,2
01/10/2003,1
12/23/2002,404
11/20/2002,150
11/16/2002,84
11/09/2002,38
11/04/2002,92
10/28/2002,145
10/15/2002,215
09/29/2002,24
09/28/2002,149
09/19/2002,178
09/13/2002,155
09/06/2002,191
08/28/2002,193
08/16/2002,386
07/30/2002,81
07/26/2002,290
07/01/2002,226
06/13/2002,6
06/12/2002,298
05/14/2002,183
04/25/2002,136
04/08/2002,145
03/25/2002,1
03/19/2002,282
02/22/2002,245
01/29/2002,160
01/11/2002,324
12/05/2001,166
11/20/2001,387
10/12/2001,544
08/20/2001,124
08/12/2001,86
08/05/2001,1230
04/28/2001,282
04/01/2001,187
03/16/2001,114
03/06/2001,88
02/24/2001,87
02/18/2001,613
01/03/2001,110
12/20/2000,89
12/09/2000,90
12/02/2000,980
09/21/2000,53
09/17/2000,201
08/25/2000,41
08/19/2000,126
08/05/2000,56
07/29/2000,49
07/23/2000,143
07/11/2000,186
06/21/2000,97
06/06/2000,159
05/11/2000,53
05/03/2000,57
04/26/2000,74
04/15/2000,98
04/01/2000,113
03/16/2000,92
03/07/2000,69
02/27/2000,27
02/23/2000,78
02/16/2000,187
01/22/2000,140
01/07/2000,158
12/16/1999,133
11/30/1999,56
11/23/1999,100
11/17/1999,201
11/09/1999,62
11/02/1999,1315
10/19/1999,141
10/02/1999,259
09/12/1999,159
08/30/1999,189
08/10/1999,201
07/14/1999,85
07/05/1999,125
06/23/1999,138
05/24/1999,231
05/23/1999,2
04/26/1999,149
04/02/1999,348
02/16/1999,227
01/28/1999,953
11/21/1998,124
11/19/1998,121
11/01/1998,216
09/26/1998,174
06/18/1998,43
06/02/1998,60
03/07/1998,259
