Reports,Count
07/1957,17
06/1957,26
05/1957,3
04/1957,3
03/1957,5
01/1957,1
12/1956,2
11/1956,2
10/1956,4
09/1956,5
08/1956,3
07/1956,8
06/1956,28
05/1956,3
04/1956,1
03/1956,4
02/1956,1
01/1956,2
10/1955,7
09/1955,2
08/1955,6
07/1955,6
06/1955,22
05/1955,3
03/1955,1
02/1955,2
01/1955,2
12/1954,2
11/1954,3
10/1954,3
09/1954,3
08/1954,8
07/1954,12
06/1954,27
05/1954,2
04/1954,1
02/1954,3
01/1954,4
11/1953,4
10/1953,2
09/1953,2
08/1953,7
07/1953,8
06/1953,12
05/1953,2
04/1953,6
03/1953,1
01/1953,2
12/1952,3
10/1952,5
09/1952,3
08/1952,5
07/1952,17
06/1952,27
05/1952,2
04/1952,2
02/1952,2
01/1952,1
12/1951,1
11/1951,1
10/1951,1
08/1951,3
07/1951,8
06/1951,9
05/1951,1
04/1951,1
03/1951,1
02/1951,3
01/1951,1
12/1950,1
10/1950,2
09/1950,1
08/1950,3
07/1950,8
06/1950,18
05/1950,2
04/1950,3
03/1950,1
01/1950,2
12/1949,1
10/1949,3
09/1949,2
08/1949,5
07/1949,3
06/1949,6
05/1949,2
04/1949,1
12/1948,1
11/1948,1
08/1948,2
07/1948,1
06/1948,7
05/1948,1
04/1948,1
12/1947,1
10/1947,3
08/1947,5
07/1947,22
06/1947,14
04/1947,2
02/1947,1
01/1947,3
12/1946,1
09/1946,2
07/1946,2
06/1946,4
05/1946,1
03/1946,1
02/1946,1
01/1946,1
12/1945,1
08/1945,2
07/1945,2
06/1945,7
05/1945,1
04/1945,1
01/1945,1
09/1944,1
08/1944,1
07/1944,2
06/1944,4
04/1944,2
03/1944,1
01/1944,3
10/1943,1
09/1943,1
08/1943,3
06/1943,3
04/1943,1
01/1943,1
11/1942,1
07/1942,1
06/1942,1
02/1942,4
07/1941,2
06/1941,2
08/1940,1
06/1940,1
07/1939,1
06/1939,2
06/1938,1
08/1937,1
06/1937,2
10/1936,1
09/1936,1
07/1936,1
06/1935,1
09/1934,1
04/1933,1
10/1932,1
02/1932,1
06/1931,1
02/1931,1
08/1930,1
06/1930,4
07/1929,1
01/1929,1
07/1928,1
12/1925,1
12/1922,1
08/1920,1
06/1920,2
06/1918,1
10/1917,2
04/1916,1
12/1914,1
09/1914,1
06/1910,1
05/1910,1
01/1910,1
06/1907,1
11/1906,1
07/1905,2
06/1899,1
06/1898,1
04/1897,2
06/1896,1
10/1886,1
12/1880,1
06/1871,1
06/1865,1
05/1864,2
03/1861,1
08/1860,1
04/1800,1
06/1790,1
12/1762,1
02/1721,1
09/1639,1
04/1561,2
06/1400,1
UNSPECIFIED / APPROXIMATE,377
